Date,Close,High,Low,Open,Volume
4/9/2021,27367.05078,27520.09961,27109.94922,27322.05078,0
4/12/2021,26727.80078,27524.59961,26545.65039,27504.40039,0
4/13/2021,25851.30078,26759.19922,25513.40039,26737.69922,0
4/15/2021,26010.84961,26084.15039,25293.30078,25577,0
4/16/2021,26324.90039,26476.65039,26131.19922,26183.44922,0
4/19/2021,26236.90039,26524.65039,25875.90039,26012.40039,0
4/20/2021,25877.59961,26496.5,25736.44922,26495.59961,0
4/22/2021,25826.69922,26055,25718.59961,25902.59961,64600
4/23/2021,25609.09961,25926.05078,25531.94922,25746.44922,0
4/26/2021,25680.30078,25887.09961,25521.19922,25633.09961,0
4/27/2021,25815.75,25871.44922,25686.94922,25737.19922,0
4/28/2021,25962.09961,25992.5,25781.15039,25952.65039,0
4/29/2021,25874.30078,26162.19922,25827.15039,26162.19922,0
4/30/2021,25664.44922,26154.30078,25593.90039,25777.75,0
5/3/2021,25676.05078,25785.59961,25427.90039,25544.84961,26600
5/4/2021,25489,25801.25,25398.94922,25783.19922,27200
5/5/2021,25786.94922,25857.65039,25564.59961,25670.55078,0
5/6/2021,26258.69922,26387.65039,25639.59961,25868.25,0
5/7/2021,26269.44922,26454.09961,26180.25,26378.80078,0
5/10/2021,26273.44922,26390.80078,26106.34961,26340.59961,0
5/11/2021,26106.69922,26146.5,25968.09961,26098.90039,0
5/12/2021,25855.44922,26105.19922,25728.44922,26105.19922,0
5/14/2021,25588.19922,25901.19922,25461.94922,25896.19922,0
5/17/2021,25703.55078,25770.5,25499.44922,25650.44922,0
5/18/2021,25958.25,26094.09961,25840.55078,25898.90039,0
5/19/2021,25982.80078,26262.69922,25869.65039,25949.55078,0
5/20/2021,25894.5,26118.25,25821.55078,26075.40039,0
5/21/2021,26105.30078,26154,25936.59961,26012.84961,0
5/24/2021,26144.19922,26298.55078,26095.40039,26150.59961,0
5/25/2021,26393.90039,26550.55078,26241.15039,26275.44922,0
5/26/2021,26857.34961,26905.75,26380.5,26450.69922,0
5/27/2021,27164.80078,27350.25,26916.84961,26921.80078,0
5/28/2021,27122.80078,27278.69922,27041.90039,27238.09961,0
5/31/2021,27115.05078,27203.90039,26886.80078,27144.09961,0
6/1/2021,27144.40039,27254.15039,26953.5,27216.75,0
6/2/2021,26939.65039,27118.69922,26737.15039,27051.40039,0
6/3/2021,26987.90039,27159.94922,26855.19922,27088.44922,0
6/4/2021,26996.75,27167.5,26914.59961,27031.59961,0
6/7/2021,27295.65039,27330.40039,26997.80078,27078.40039,0
6/8/2021,27623.80078,27732.34961,27376.94922,27400.80078,0
6/9/2021,27539,27793.80078,27436.34961,27691.30078,0
6/10/2021,27798,27822.09961,27649.94922,27676.5,0
6/11/2021,28217.5,28347.5,27820.5,27866.25,0
6/14/2021,28314.09961,28467.34961,28134.65039,28371.90039,0
6/15/2021,28377.84961,28544.59961,28325.90039,28384.69922,0
6/16/2021,28448.84961,28600.19922,28241.25,28384.15039,0
6/17/2021,28611.34961,28714.59961,28343.05078,28355.15039,0
6/18/2021,28445.59961,28934.05078,28227.55078,28829.5,0
6/21/2021,28367,28393.05078,28083.75,28224.09961,0
6/22/2021,28523.55078,28656.40039,28396.5,28514.15039,0
6/23/2021,28258.5,28719.65039,28229.34961,28719.65039,0
6/24/2021,29048,29098.94922,28357.30078,28395.44922,0
6/25/2021,29210.55078,29284,28874.59961,29176.75,0
6/28/2021,29068.55078,29259.59961,28977.75,29259.59961,0
6/29/2021,28986.25,29183.84961,28934.15039,29049.65039,0
6/30/2021,29168,29311.55078,29036.94922,29057.15039,0
7/1/2021,29003.09961,29193.05078,28953.05078,29193.05078,15900
7/2/2021,29007.94922,29028.34961,28704,28983.5,16400
7/5/2021,28950.59961,29185.59961,28907.75,29117.44922,0
7/6/2021,28649.40039,28986.09961,28607.59961,28924,0
7/7/2021,28734.65039,28790.30078,28381.30078,28708.59961,0
7/8/2021,28749,28934.44922,28541.94922,28821.75,0
7/9/2021,28662.19922,28898.84961,28549.25,28669.19922,0
7/12/2021,28532.34961,28854.55078,28421.55078,28837.05078,0
7/13/2021,28439.75,28681.19922,28381.90039,28674.69922,0
7/14/2021,29339.84961,29376.90039,28534.84961,28581.25,0
7/15/2021,29718.05078,29835.90039,29284.80078,29303.34961,0
7/16/2021,29400.25,29734.75,29287.25,29734.75,0
7/19/2021,29264,29592.34961,29167.34961,29248.30078,0
7/20/2021,29252.5,29410.5,28992,29282.80078,0
7/22/2021,29779.94922,29808.44922,29335.69922,29335.69922,0
7/23/2021,29894.30078,30059.69922,29848.05078,29895.59961,0
7/26/2021,29940.40039,30139.19922,29859.59961,29886.19922,0
7/27/2021,29892.55078,30048.34961,29698.94922,29967.90039,0
7/28/2021,29954.15039,29993.55078,29510.34961,29934.05078,0
7/29/2021,30371.40039,30406,30037.09961,30037.19922,0
7/30/2021,30480.05078,30818.55078,30438.34961,30546.84961,0
8/2/2021,30803.05078,30832.30078,30547,30681.94922,0
8/3/2021,31165.84961,31196.44922,30872.34961,30974.75,0
8/4/2021,30977.15039,31338.80078,30895.44922,31296.80078,0
8/5/2021,31211.19922,31560.19922,30980.90039,31025.15039,0
8/6/2021,31303.30078,31460.30078,31057.59961,31251.19922,0
8/9/2021,31441,31685.40039,31324.75,31523.5,0
8/10/2021,31713.40039,31812.75,31431.15039,31489.94922,29900
8/11/2021,31670,31799.75,31522.40039,31767.90039,21200
8/12/2021,32245.09961,32289.84961,31667.34961,31667.34961,29100
8/13/2021,32678.80078,32821.89844,32264.15039,32308.84961,32200
8/16/2021,32577.94922,32905.35156,32438.25,32671.75,18000
8/17/2021,33414.75,33487.10156,32449.65039,32614,42300
8/18/2021,33448.89844,33840.44922,33268.60156,33482.85156,29400
8/20/2021,33351.35156,33652.39844,32949.89844,32954.19922,28500
8/23/2021,33919.80078,34153.39844,33567.35156,33582.14844,36600
8/24/2021,33838.39844,34262.60156,33634.75,34145.25,28600
8/25/2021,34083.94922,34399.85156,33764.10156,33887.75,25300
8/26/2021,34041.10156,34375.94922,33929.69922,34092.89844,21000
8/27/2021,34309.80078,34392.85156,33799.05078,34036.44922,26200
8/30/2021,34109.25,34480.14844,34027.5,34338.75,21200
8/31/2021,34570.25,34680.64844,34043.60156,34205.80078,40000
9/1/2021,34110.5,34780,34037.14844,34698.75,22300
9/2/2021,34680.30078,34846.89844,34051.89844,34218.25,27500
9/3/2021,34891.19922,34997.69922,34490.64844,34744.44922,20900
9/6/2021,35415.10156,35464.39844,34855.94922,34992.05078,27600
9/7/2021,34951.30078,35581.55078,34906.85156,35549.30078,19400
9/8/2021,34678.19922,34979.30078,34515.44922,34973.89844,22700
